,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
640,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1498.001,Direct Network Flood,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
641,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1498.002,Reflection Amplification,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
642,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1499,Endpoint Denial of Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
643,veris,1.4.1,action.hacking,action.hacking.variety.Soap array abuse,Soap array abuse. Child of 'Exploit vuln'.,related-to,T1499,Endpoint Denial of Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
644,veris,1.4.1,action.hacking,action.hacking.variety.XML external entities,XML external entities. Child of 'Exploit vuln'.,related-to,T1499,Endpoint Denial of Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
645,veris,1.4.1,action.malware,action.malware.variety.Adminware,"System or network utilities (e.g., PsTools, Netcat)",related-to,T1219.001,IDE Tunneling,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
646,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,related-to,T1499.001,OS Exhaustion Flood,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
647,veris,1.4.1,action.malware,action.malware.variety.Client-side attack,"Client-side or browser attack (e.g., redirection, XSS, AitB)",related-to,T1221,Template Injection,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
648,veris,1.4.1,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1222,File and Directory Permissions Modification,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
649,veris,1.4.1,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1222.001,Windows Permissions,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
650,veris,1.4.1,action.malware,action.malware.variety.Disable controls,Disable or interfere with security controls,related-to,T1222.002,Linux and Mac Permissions,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
